Mevcut Durum,Okunan Sembol,Sonraki Durum,Hareket
q2,K,q3,R
q2,L,q3,R
q2,M,q3,R
q2,N,q3,R
q2,O,q3,R
q2,P,q3,R
q2,Q,q3,R
q2,R,q3,R
q2,S,q3,R
q2,T,q3,R
q2,U,q3,R
q2,V,q3,R
q2,W,q3,R
q2,X,q3,R
q2,Y,q3,R
q2,Z,q3,R
q2,0,q_reject,R
q2,1,q_reject,R
q2,2,q_reject,R
q2,3,q_reject,R
q2,4,q_reject,R
q2,5,q_reject,R
q2,6,q_reject,R
q2,7,q_reject,R
q2,8,q_reject,R
q2,9,q_reject,R
q2,a,q_reject,R
q2,b,q_reject,R
q2,c,q_reject,R
q2,d,q_reject,R
q2,e,q_reject,R
q2,f,q_reject,R
q2,g,q_reject,R
q2,h,q_reject,R
q2,i,q_reject,R
q2,j,q_reject,R
q2,k,q_reject,R
q2,l,q_reject,R
q2,m,q_reject,R
q2,n,q_reject,R
q2,o,q_reject,R
q2,p,q_reject,R
q2,q,q_reject,R
q2,r,q_reject,R
q2,s,q_reject,R
q2,t,q_reject,R
q2,u,q_reject,R
q2,v,q_reject,R
q2,w,q_reject,R
q2,x,q_reject,R
q2,y,q_reject,R
q2,z,q_reject,R
q2,_,q_reject,R
q3,A,q4,R
q3,B,q4,R
q3,C,q4,R
q3,D,q4,R
q3,E,q4,R
q3,F,q4,R
q3,G,q4,R
q3,H,q4,R
q3,I,q4,R
q3,J,q4,R
q3,K,q4,R
q3,L,q4,R
q3,M,q4,R
q3,N,q4,R
q3,O,q4,R
q3,P,q4,R
q3,Q,q4,R
q3,R,q4,R
q3,S,q4,R
q3,T,q4,R
q3,U,q4,R
q3,V,q4,R
q3,W,q4,R
q3,X,q4,R
q3,Y,q4,R
q3,Z,q4,R
q3,0,q_reject,R
q3,1,q_reject,R
q3,2,q_reject,R
q3,3,q_reject,R
q3,4,q_reject,R
q3,5,q_reject,R
q3,6,q_reject,R
q3,7,q_reject,R
q3,8,q_reject,R
q3,9,q_reject,R
q3,a,q_reject,R
q3,b,q_reject,R
q3,c,q_reject,R
q3,d,q_reject,R
q3,e,q_reject,R
q3,f,q_reject,R
q3,g,q_reject,R
q3,h,q_reject,R
q3,i,q_reject,R
q3,j,q_reject,R
q3,k,q_reject,R
q3,l,q_reject,R
q3,m,q_reject,R
q3,n,q_reject,R
q3,o,q_reject,R
q3,p,q_reject,R
q3,q,q_reject,R
q3,r,q_reject,R
q3,s,q_reject,R
q3,t,q_reject,R
q3,u,q_reject,R
q3,v,q_reject,R
q3,w,q_reject,R
q3,x,q_reject,R
q3,y,q_reject,R
q3,z,q_reject,R
q3,_,q_reject,R
q4,0,q5,R
q4,1,q5,R
q4,2,q5,R
q4,3,q5,R
q4,4,q5,R
q4,5,q5,R
q4,6,q5,R
q4,7,q5,R
q4,8,q5,R
q4,9,q5,R
q4,A,q_reject,R
q4,B,q_reject,R
q4,C,q_reject,R
q4,D,q_reject,R
q4,E,q_reject,R
q4,F,q_reject,R
q4,G,q_reject,R
q4,H,q_reject,R
q4,I,q_reject,R
q4,J,q_reject,R
q4,K,q_reject,R
q4,L,q_reject,R
q4,M,q_reject,R
q4,N,q_reject,R
q4,O,q_reject,R
q4,P,q_reject,R
q4,Q,q_reject,R
q4,R,q_reject,R
q4,S,q_reject,R
q4,T,q_reject,R
q4,U,q_reject,R
q4,V,q_reject,R
q4,W,q_reject,R
q4,X,q_reject,R
q4,Y,q_reject,R
q4,Z,q_reject,R
q4,a,q_reject,R
q4,b,q_reject,R
q4,c,q_reject,R
q4,d,q_reject,R
q4,e,q_reject,R
q4,f,q_reject,R
q4,g,q_reject,R
q4,h,q_reject,R
q4,i,q_reject,R
q4,j,q_reject,R
q4,k,q_reject,R
q4,l,q_reject,R
q4,m,q_reject,R
q4,n,q_reject,R
q4,o,q_reject,R
q4,p,q_reject,R
q4,q,q_reject,R
q4,r,q_reject,R
q4,s,q_reject,R
q4,t,q_reject,R
q4,u,q_reject,R
q4,v,q_reject,R
q4,w,q_reject,R
q4,x,q_reject,R
q4,y,q_reject,R
q4,z,q_reject,R
q4,_,q_reject,R
q5,0,q6,R
q5,1,q6,R
q5,2,q6,R
q5,3,q6,R
q5,4,q6,R
q5,5,q6,R
q5,6,q6,R
q5,7,q6,R
q5,8,q6,R
q5,9,q6,R
q5,A,q_reject,R
q5,B,q_reject,R
q5,C,q_reject,R
q5,D,q_reject,R
q5,E,q_reject,R
q5,F,q_reject,R
q5,G,q_reject,R
q5,H,q_reject,R
q5,I,q_reject,R
q5,J,q_reject,R
q5,K,q_reject,R
q5,L,q_reject,R
q5,M,q_reject,R
q5,N,q_reject,R
q5,O,q_reject,R
q5,P,q_reject,R
q5,Q,q_reject,R
q5,R,q_reject,R
q5,S,q_reject,R
q5,T,q_reject,R
q5,U,q_reject,R
q5,V,q_reject,R
q5,W,q_reject,R
q5,X,q_reject,R
q5,Y,q_reject,R
q5,Z,q_reject,R
q5,a,q_reject,R
q5,b,q_reject,R
q5,c,q_reject,R
q5,d,q_reject,R
q5,e,q_reject,R
q5,f,q_reject,R
q5,g,q_reject,R
q5,h,q_reject,R
q5,i,q_reject,R
q5,j,q_reject,R
q5,k,q_reject,R
q5,l,q_reject,R
q5,m,q_reject,R
q5,n,q_reject,R
q5,o,q_reject,R
q5,p,q_reject,R
q5,q,q_reject,R
q5,r,q_reject,R
q5,s,q_reject,R
q5,t,q_reject,R
q5,u,q_reject,R
q5,v,q_reject,R
q5,w,q_reject,R
q5,x,q_reject,R
q5,y,q_reject,R
q5,z,q_reject,R
q5,_,q_reject,R
q6,0,q_accept,R
q6,1,q_accept,R
q6,2,q_accept,R
q6,3,q_accept,R
q6,4,q_accept,R
q6,5,q_accept,R
q6,6,q_accept,R
q6,7,q_accept,R
q6,8,q_accept,R
q6,9,q_accept,R
q6,A,q_reject,R
q6,B,q_reject,R
q6,C,q_reject,R
q6,D,q_reject,R
q6,E,q_reject,R
q6,F,q_reject,R
q6,G,q_reject,R
q6,H,q_reject,R
q6,I,q_reject,R
q6,J,q_reject,R
q6,K,q_reject,R
q6,L,q_reject,R
q6,M,q_reject,R
q6,N,q_reject,R
q6,O,q_reject,R
q6,P,q_reject,R
q6,Q,q_reject,R
q6,R,q_reject,R
q6,S,q_reject,R
q6,T,q_reject,R
q6,U,q_reject,R
q6,V,q_reject,R
q6,W,q_reject,R
q6,X,q_reject,R
q6,Y,q_reject,R
q6,Z,q_reject,R
q6,a,q_reject,R
q6,b,q_reject,R
q6,c,q_reject,R
q6,d,q_reject,R
q6,e,q_reject,R
q6,f,q_reject,R
q6,g,q_reject,R
q6,h,q_reject,R
q6,i,q_reject,R
q6,j,q_reject,R
q6,k,q_reject,R
q6,l,q_reject,R
q6,m,q_reject,R
q6,n,q_reject,R
q6,o,q_reject,R
q6,p,q_reject,R
q6,q,q_reject,R
q6,r,q_reject,R
q6,s,q_reject,R
q6,t,q_reject,R
q6,u,q_reject,R
q6,v,q_reject,R
q6,w,q_reject,R
q6,x,q_reject,R
q6,y,q_reject,R
q6,z,q_reject,R
q6,_,q_reject,R
q_accept,A,q_reject,R
q_accept,B,q_reject,R
q_accept,C,q_reject,R
q_accept,D,q_reject,R
q_accept,E,q_reject,R
q_accept,F,q_reject,R
q_accept,G,q_reject,R
q_accept,H,q_reject,R
q_accept,I,q_reject,R
q_accept,J,q_reject,R
q_accept,K,q_reject,R
q_accept,L,q_reject,R
q_accept,M,q_reject,R
q_accept,N,q_reject,R
q_accept,O,q_reject,R
q_accept,P,q_reject,R
q_accept,Q,q_reject,R
q_accept,R,q_reject,R
q_accept,S,q_reject,R
q_accept,T,q_reject,R
q_accept,U,q_reject,R
q_accept,V,q_reject,R
q_accept,W,q_reject,R
q_accept,X,q_reject,R
q_accept,Y,q_reject,R
q_accept,Z,q_reject,R
q_accept,0,q_reject,R
q_accept,1,q_reject,R
q_accept,2,q_reject,R
q_accept,3,q_reject,R
q_accept,4,q_reject,R
q_accept,5,q_reject,R
q_accept,6,q_reject,R
q_accept,7,q_reject,R
q_accept,8,q_reject,R
q_accept,9,q_reject,R
q_accept,a,q_reject,R
q_accept,b,q_reject,R
q_accept,c,q_reject,R
q_accept,d,q_reject,R
q_accept,e,q_reject,R
q_accept,f,q_reject,R
q_accept,g,q_reject,R
q_accept,h,q_reject,R
q_accept,i,q_reject,R
q_accept,j,q_reject,R
q_accept,k,q_reject,R
q_accept,l,q_reject,R
q_accept,m,q_reject,R
q_accept,n,q_reject,R
q_accept,o,q_reject,R
q_accept,p,q_reject,R
q_accept,q,q_reject,R
q_accept,r,q_reject,R
q_accept,s,q_reject,R
q_accept,t,q_reject,R
q_accept,u,q_reject,R
q_accept,v,q_reject,R
q_accept,w,q_reject,R
q_accept,x,q_reject,R
q_accept,y,q_reject,R
q_accept,z,q_reject,R
q_accept,_,q_accept,R
