Mevcut Durum,Okunan Sembol,Sonraki Durum,Yazılan Sembol,Hareket
go_back_X,0,go_back_X,0,L
go_back_X,1,go_back_X,1,L
go_back_X,A,go_back_X,A,L
go_back_X,B,go_back_X,B,L
go_back_X,=,go_back_X,=,L
go_back_X,x,go_back_X,x,L
go_back_X,y,go_back_X,y,L
go_back_X,*,add_start,*,L
clean_X,a,clean_X,0,R
clean_X,b,clean_X,1,R
clean_X,*,clean_Z,*,R
clean_Z,x,clean_Z,x,R
clean_Z,y,clean_Z,y,R
clean_Z,=,clean_Z,=,R
clean_Z,0,clean_Z,0,R
clean_Z,1,clean_Z,1,R
clean_Z,A,clean_Z,0,R
clean_Z,B,clean_Z,1,R
clean_Z,_,go_sx_from_clean,_,L
go_sx_from_clean,0,go_sx_from_clean,0,L
go_sx_from_clean,1,go_sx_from_clean,1,L
go_sx_from_clean,=,go_sx_from_clean,=,L
go_sx_from_clean,x,go_sx_from_clean,x,L
go_sx_from_clean,y,go_sx_from_clean,y,L
go_sx_from_clean,*,sx_start,*,L
sx_start,0,sx_rem_0,0,L
sx_start,1,sx_rem_1,0,L
sx_rem_0,0,sx_rem_0,0,L
sx_rem_0,1,sx_rem_1,0,L
sx_rem_0,_,sx_done,0,R
sx_rem_1,0,sx_rem_0,1,L
sx_rem_1,1,sx_rem_1,1,L
sx_rem_1,_,sx_done,1,R
sx_done,0,sx_done,0,R
sx_done,1,sx_done,1,R
sx_done,*,sx_done,*,R
sx_done,x,sx_done,x,R
sx_done,y,sx_done,y,R
sx_done,=,find_Y_bit,=,L
